origin_date,scenario_id,target,horizon,location,race_ethnicity,output_type,output_type_id,value,run_grouping,stochastic_run
2020-11-15,A-2020-11-15,inc death,1,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,2,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,3,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,4,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,5,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,6,37,asian,sample,NA,1.532878985155476,1,1
2020-11-15,A-2020-11-15,inc death,7,37,asian,sample,NA,2.5621870882459135,1,1
2020-11-15,A-2020-11-15,inc death,8,37,asian,sample,NA,3.611096103802182,1,1
2020-11-15,A-2020-11-15,inc death,9,37,asian,sample,NA,4.321628589759246,1,1
2020-11-15,A-2020-11-15,inc death,10,37,asian,sample,NA,4.241126833209222,1,1
2020-11-15,A-2020-11-15,inc death,11,37,asian,sample,NA,3.5979018967757344,1,1
2020-11-15,A-2020-11-15,inc death,12,37,asian,sample,NA,2.693893015723784,1,1
2020-11-15,A-2020-11-15,inc death,13,37,asian,sample,NA,1.7775134488967523,1,1
2020-11-15,A-2020-11-15,inc death,14,37,asian,sample,NA,1.0634946141616566,1,1
2020-11-15,A-2020-11-15,inc death,15,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,16,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,17,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,18,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,19,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,20,37,asian,sample,NA,1.0,1,1
2020-11-15,A-2020-11-15,inc death,1,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,2,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,3,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,4,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,5,37,asian,sample,NA,1.1266895135671078,2,1
2020-11-15,A-2020-11-15,inc death,6,37,asian,sample,NA,1.9555131853297794,2,1
2020-11-15,A-2020-11-15,inc death,7,37,asian,sample,NA,3.2474960159602633,2,1
2020-11-15,A-2020-11-15,inc death,8,37,asian,sample,NA,4.568588158894773,2,1
2020-11-15,A-2020-11-15,inc death,9,37,asian,sample,NA,5.43037953048108,2,1
2020-11-15,A-2020-11-15,inc death,10,37,asian,sample,NA,5.058432395651899,2,1
2020-11-15,A-2020-11-15,inc death,11,37,asian,sample,NA,3.8718642181232608,2,1
2020-11-15,A-2020-11-15,inc death,12,37,asian,sample,NA,2.4892118601736173,2,1
2020-11-15,A-2020-11-15,inc death,13,37,asian,sample,NA,1.3479148381657169,2,1
2020-11-15,A-2020-11-15,inc death,14,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,15,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,16,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,17,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,18,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,19,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,20,37,asian,sample,NA,1.0,2,1
2020-11-15,A-2020-11-15,inc death,1,37,asian,sample,NA,1.0,3,1
2020-11-15,A-2020-11-15,inc death,2,37,asian,sample,NA,1.0,3,1
2020-11-15,A-2020-11-15,inc death,3,37,asian,sample,NA,1.0,3,1
2020-11-15,A-2020-11-15,inc death,4,37,asian,sample,NA,1.0,3,1
2020-11-15,A-2020-11-15,inc death,5,37,asian,sample,NA,1.0,3,1
2020-11-15,A-2020-11-15,inc death,6,37,asian,sample,NA,1.3763624906038803,3,1
2020-11-15,A-2020-11-15,inc death,7,37,asian,sample,NA,2.338912894154469,3,1
2020-11-15,A-2020-11-15,inc death,8,37,asian,sample,NA,3.364502106638893,3,1
2020-11-15,A-2020-11-15,inc death,9,37,asian,sample,NA,4.085567564032496,3,1
2020-11-15,A-2020-11-15,inc death,10,37,asian,sample,NA,3.9046121487825176,3,1
