0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.500000000000000000e+01,8.000000000000000000e+00,3.000000000000000000e+00
2.000000000000000000e+01,4.230000000000000000e+02,1.730000000000000000e+02,2.600000000000000000e+01
2.000000000000000000e+01,5.670000000000000000e+02,3.380000000000000000e+02,6.500000000000000000e+01
2.700000000000000000e+01,5.170000000000000000e+02,4.480000000000000000e+02,7.700000000000000000e+01
2.900000000000000000e+01,8.970000000000000000e+02,5.920000000000000000e+02,1.540000000000000000e+02
1.400000000000000000e+01,7.510000000000000000e+02,6.750000000000000000e+02,2.220000000000000000e+02
6.700000000000000000e+01,1.146000000000000000e+03,7.770000000000000000e+02,3.710000000000000000e+02
1.060000000000000000e+02,1.109000000000000000e+03,5.590000000000000000e+02,4.280000000000000000e+02
9.900000000000000000e+01,1.471000000000000000e+03,6.470000000000000000e+02,4.920000000000000000e+02
1.570000000000000000e+02,1.845000000000000000e+03,7.070000000000000000e+02,6.810000000000000000e+02
1.690000000000000000e+02,2.187000000000000000e+03,8.320000000000000000e+02,9.000000000000000000e+02
1.200000000000000000e+02,2.343000000000000000e+03,7.460000000000000000e+02,1.162000000000000000e+03
1.260000000000000000e+02,3.082000000000000000e+03,8.800000000000000000e+02,1.624000000000000000e+03
1.410000000000000000e+02,3.493000000000000000e+03,9.740000000000000000e+02,1.679000000000000000e+03
1.140000000000000000e+02,4.225000000000000000e+03,1.091000000000000000e+03,1.577000000000000000e+03
1.460000000000000000e+02,5.042000000000000000e+03,1.565000000000000000e+03,1.672000000000000000e+03
1.080000000000000000e+02,5.087000000000000000e+03,2.005000000000000000e+03,1.715000000000000000e+03
1.450000000000000000e+02,6.050000000000000000e+03,2.394000000000000000e+03,1.883000000000000000e+03
1.490000000000000000e+02,5.757000000000000000e+03,2.616000000000000000e+03,1.964000000000000000e+03
1.350000000000000000e+02,5.647000000000000000e+03,2.379000000000000000e+03,1.872000000000000000e+03
1.510000000000000000e+02,5.320000000000000000e+03,2.054000000000000000e+03,1.587000000000000000e+03
1.710000000000000000e+02,4.838000000000000000e+03,1.762000000000000000e+03,1.259000000000000000e+03
1.680000000000000000e+02,4.686000000000000000e+03,1.701000000000000000e+03,1.187000000000000000e+03
2.490000000000000000e+02,5.775000000000000000e+03,1.686000000000000000e+03,1.402000000000000000e+03
2.300000000000000000e+02,5.568000000000000000e+03,1.796000000000000000e+03,1.618000000000000000e+03
2.030000000000000000e+02,5.010000000000000000e+03,1.468000000000000000e+03,1.278000000000000000e+03
1.560000000000000000e+02,4.537000000000000000e+03,1.341000000000000000e+03,1.020000000000000000e+03
1.920000000000000000e+02,4.795000000000000000e+03,1.609000000000000000e+03,9.150000000000000000e+02
1.640000000000000000e+02,4.930000000000000000e+03,1.622000000000000000e+03,9.740000000000000000e+02
1.610000000000000000e+02,6.754000000000000000e+03,1.810000000000000000e+03,1.312000000000000000e+03
1.680000000000000000e+02,7.429000000000000000e+03,1.824000000000000000e+03,1.466000000000000000e+03
1.790000000000000000e+02,7.902000000000000000e+03,2.307000000000000000e+03,1.598000000000000000e+03
2.480000000000000000e+02,8.238000000000000000e+03,2.707000000000000000e+03,1.629000000000000000e+03
2.440000000000000000e+02,8.637000000000000000e+03,2.447000000000000000e+03,1.621000000000000000e+03
2.480000000000000000e+02,9.525000000000000000e+03,2.819000000000000000e+03,1.949000000000000000e+03
3.300000000000000000e+02,1.249000000000000000e+04,3.736000000000000000e+03,2.452000000000000000e+03
3.270000000000000000e+02,1.268000000000000000e+04,3.864000000000000000e+03,2.748000000000000000e+03
3.480000000000000000e+02,1.165500000000000000e+04,3.533000000000000000e+03,2.566000000000000000e+03
5.920000000000000000e+02,1.765100000000000000e+04,5.124000000000000000e+03,4.279000000000000000e+03
5.490000000000000000e+02,1.750100000000000000e+04,5.008000000000000000e+03,4.803000000000000000e+03
5.550000000000000000e+02,1.903200000000000000e+04,4.841000000000000000e+03,5.206000000000000000e+03
5.010000000000000000e+02,1.580900000000000000e+04,4.566000000000000000e+03,4.106000000000000000e+03
7.760000000000000000e+02,2.220700000000000000e+04,6.077000000000000000e+03,6.946000000000000000e+03
1.081000000000000000e+03,2.320700000000000000e+04,7.189000000000000000e+03,7.039000000000000000e+03
7.170000000000000000e+02,1.906700000000000000e+04,6.141000000000000000e+03,6.595000000000000000e+03
5.690000000000000000e+02,1.556100000000000000e+04,5.147000000000000000e+03,5.540000000000000000e+03
5.470000000000000000e+02,1.296800000000000000e+04,4.460000000000000000e+03,4.632000000000000000e+03
4.340000000000000000e+02,1.128100000000000000e+04,4.370000000000000000e+03,3.546000000000000000e+03
3.340000000000000000e+02,1.090700000000000000e+04,3.542000000000000000e+03,2.725000000000000000e+03
2.610000000000000000e+02,8.966000000000000000e+03,2.771000000000000000e+03,2.087000000000000000e+03
2.410000000000000000e+02,7.177000000000000000e+03,2.361000000000000000e+03,1.711000000000000000e+03
2.170000000000000000e+02,5.837000000000000000e+03,1.994000000000000000e+03,1.540000000000000000e+03
2.420000000000000000e+02,5.577000000000000000e+03,1.808000000000000000e+03,1.283000000000000000e+03
2.560000000000000000e+02,5.631000000000000000e+03,2.054000000000000000e+03,1.373000000000000000e+03
2.260000000000000000e+02,6.074000000000000000e+03,2.408000000000000000e+03,1.639000000000000000e+03
2.030000000000000000e+02,5.566000000000000000e+03,2.533000000000000000e+03,1.413000000000000000e+03
