2.605000000000000000e+03,5.945000000000000000e+03,1.376000000000000000e+03,8.195000000000000000e+03,2.222000000000000000e+03
8.330000000000000000e+02,1.794000000000000000e+03,4.630000000000000000e+02,3.897000000000000000e+03,2.440000000000000000e+02
8.060000000000000000e+02,1.710000000000000000e+03,4.500000000000000000e+02,5.035000000000000000e+03,4.760000000000000000e+02
6.910000000000000000e+02,1.291000000000000000e+03,4.520000000000000000e+02,5.398000000000000000e+03,4.770000000000000000e+02
8.690000000000000000e+02,1.712000000000000000e+03,4.800000000000000000e+02,6.683000000000000000e+03,5.250000000000000000e+02
7.140000000000000000e+02,1.766000000000000000e+03,4.390000000000000000e+02,6.552000000000000000e+03,1.089000000000000000e+03
6.910000000000000000e+02,1.625000000000000000e+03,4.770000000000000000e+02,7.137000000000000000e+03,3.520000000000000000e+03
6.120000000000000000e+02,1.643000000000000000e+03,4.380000000000000000e+02,7.405000000000000000e+03,2.603000000000000000e+03
5.290000000000000000e+02,1.559000000000000000e+03,3.910000000000000000e+02,9.400000000000000000e+03,2.561000000000000000e+03
5.910000000000000000e+02,2.132000000000000000e+03,5.190000000000000000e+02,9.690000000000000000e+03,3.513000000000000000e+03
7.830000000000000000e+02,3.065000000000000000e+03,8.240000000000000000e+02,1.148300000000000000e+04,4.439000000000000000e+03
1.289000000000000000e+03,5.356000000000000000e+03,1.123000000000000000e+03,1.450500000000000000e+04,6.700000000000000000e+03
1.460000000000000000e+03,6.883000000000000000e+03,1.589000000000000000e+03,1.747400000000000000e+04,6.911000000000000000e+03
1.714000000000000000e+03,7.061000000000000000e+03,1.657000000000000000e+03,2.480300000000000000e+04,6.025000000000000000e+03
1.903000000000000000e+03,7.425000000000000000e+03,1.825000000000000000e+03,2.533400000000000000e+04,6.743000000000000000e+03
1.686000000000000000e+03,5.669000000000000000e+03,1.521000000000000000e+03,2.642400000000000000e+04,2.552000000000000000e+03
1.883000000000000000e+03,5.296000000000000000e+03,1.478000000000000000e+03,2.399500000000000000e+04,2.408000000000000000e+03
2.166000000000000000e+03,6.883000000000000000e+03,1.859000000000000000e+03,2.552100000000000000e+04,5.528000000000000000e+03
1.759000000000000000e+03,4.746000000000000000e+03,1.290000000000000000e+03,2.123200000000000000e+04,2.126000000000000000e+03
1.716000000000000000e+03,5.026000000000000000e+03,1.223000000000000000e+03,1.908100000000000000e+04,2.301000000000000000e+03
1.587000000000000000e+03,4.672000000000000000e+03,1.228000000000000000e+03,1.859400000000000000e+04,1.049000000000000000e+03
1.443000000000000000e+03,4.025000000000000000e+03,9.890000000000000000e+02,1.574400000000000000e+04,6.560000000000000000e+02
1.317000000000000000e+03,3.918000000000000000e+03,8.300000000000000000e+02,1.469300000000000000e+04,8.970000000000000000e+02
1.194000000000000000e+03,4.297000000000000000e+03,9.270000000000000000e+02,1.332500000000000000e+04,1.461000000000000000e+03
1.149000000000000000e+03,3.709000000000000000e+03,7.330000000000000000e+02,1.023400000000000000e+04,1.397000000000000000e+03
1.048000000000000000e+03,3.747000000000000000e+03,7.310000000000000000e+02,1.116600000000000000e+04,1.666000000000000000e+03
9.320000000000000000e+02,3.449000000000000000e+03,6.160000000000000000e+02,1.074200000000000000e+04,1.018000000000000000e+03
1.364000000000000000e+03,4.778000000000000000e+03,8.920000000000000000e+02,1.418100000000000000e+04,2.921000000000000000e+03
1.292000000000000000e+03,5.203000000000000000e+03,8.990000000000000000e+02,1.358000000000000000e+04,2.255000000000000000e+03
1.758000000000000000e+03,7.091000000000000000e+03,1.201000000000000000e+03,1.671700000000000000e+04,3.743000000000000000e+03
2.489000000000000000e+03,9.867000000000000000e+03,1.651000000000000000e+03,2.097900000000000000e+04,5.856000000000000000e+03
