origin_date,scenario_id,target,horizon,location,race_ethnicity,output_type,output_type_id,value,run_grouping,stochastic_run
2020-11-15,A-2020-11-15,inc death,1,06,asian,sample,NA,33.61491543346451,1,1
2020-11-15,A-2020-11-15,inc death,2,06,asian,sample,NA,61.97110500140057,1,1
2020-11-15,A-2020-11-15,inc death,3,06,asian,sample,NA,117.4950063218269,1,1
2020-11-15,A-2020-11-15,inc death,4,06,asian,sample,NA,206.85842063737292,1,1
2020-11-15,A-2020-11-15,inc death,5,06,asian,sample,NA,319.20927775577644,1,1
2020-11-15,A-2020-11-15,inc death,6,06,asian,sample,NA,401.80883623124987,1,1
2020-11-15,A-2020-11-15,inc death,7,06,asian,sample,NA,448.501985469041,1,1
2020-11-15,A-2020-11-15,inc death,8,06,asian,sample,NA,490.97892373537286,1,1
2020-11-15,A-2020-11-15,inc death,9,06,asian,sample,NA,544.2682241467421,1,1
2020-11-15,A-2020-11-15,inc death,10,06,asian,sample,NA,523.085916559369,1,1
2020-11-15,A-2020-11-15,inc death,11,06,asian,sample,NA,422.9897320682581,1,1
2020-11-15,A-2020-11-15,inc death,12,06,asian,sample,NA,297.5210791992039,1,1
2020-11-15,A-2020-11-15,inc death,13,06,asian,sample,NA,209.79832768467432,1,1
2020-11-15,A-2020-11-15,inc death,14,06,asian,sample,NA,202.10200040786756,1,1
2020-11-15,A-2020-11-15,inc death,15,06,asian,sample,NA,204.76991119671172,1,1
2020-11-15,A-2020-11-15,inc death,16,06,asian,sample,NA,164.98750872456827,1,1
2020-11-15,A-2020-11-15,inc death,17,06,asian,sample,NA,94.09744108657195,1,1
2020-11-15,A-2020-11-15,inc death,18,06,asian,sample,NA,40.7188416820553,1,1
2020-11-15,A-2020-11-15,inc death,19,06,asian,sample,NA,14.175806700650107,1,1
2020-11-15,A-2020-11-15,inc death,20,06,asian,sample,NA,4.322890018237988,1,1
2020-11-15,A-2020-11-15,inc death,1,06,asian,sample,NA,25.835574973321116,2,1
2020-11-15,A-2020-11-15,inc death,2,06,asian,sample,NA,48.59889475401113,2,1
2020-11-15,A-2020-11-15,inc death,3,06,asian,sample,NA,93.24916704844699,2,1
2020-11-15,A-2020-11-15,inc death,4,06,asian,sample,NA,166.1572093945093,2,1
2020-11-15,A-2020-11-15,inc death,5,06,asian,sample,NA,263.11770004681927,2,1
2020-11-15,A-2020-11-15,inc death,6,06,asian,sample,NA,352.04253905496773,2,1
2020-11-15,A-2020-11-15,inc death,7,06,asian,sample,NA,421.0152266154981,2,1
2020-11-15,A-2020-11-15,inc death,8,06,asian,sample,NA,482.2139098503188,2,1
2020-11-15,A-2020-11-15,inc death,9,06,asian,sample,NA,538.0213491649658,2,1
2020-11-15,A-2020-11-15,inc death,10,06,asian,sample,NA,508.5851497862351,2,1
2020-11-15,A-2020-11-15,inc death,11,06,asian,sample,NA,402.69395417462306,2,1
2020-11-15,A-2020-11-15,inc death,12,06,asian,sample,NA,279.8713335338821,2,1
