origin_date,scenario_id,target,horizon,location,race_ethnicity,output_type,output_type_id,value,run_grouping,stochastic_run
2020-11-15,A-2020-05-01,inc death,1,06,asian,sample,NA,47.988317688390694,4,1
2020-11-15,A-2020-05-01,inc death,2,06,asian,sample,NA,54.906233985889756,4,1
2020-11-15,A-2020-05-01,inc death,3,06,asian,sample,NA,66.42318974637264,4,1
2020-11-15,A-2020-05-01,inc death,4,06,asian,sample,NA,82.81823248800345,4,1
2020-11-15,A-2020-05-01,inc death,5,06,asian,sample,NA,103.63712979620651,4,1
2020-11-15,A-2020-05-01,inc death,6,06,asian,sample,NA,128.17171582215371,4,1
2020-11-15,A-2020-05-01,inc death,7,06,asian,sample,NA,154.5881014169981,4,1
2020-11-15,A-2020-05-01,inc death,8,06,asian,sample,NA,179.32081608985703,4,1
2020-11-15,A-2020-05-01,inc death,9,06,asian,sample,NA,199.32330644679053,4,1
2020-11-15,A-2020-05-01,inc death,10,06,asian,sample,NA,208.90589054933983,4,1
2020-11-15,A-2020-05-01,inc death,11,06,asian,sample,NA,202.92069322572667,4,1
2020-11-15,A-2020-05-01,inc death,12,06,asian,sample,NA,180.90791772820552,4,1
2020-11-15,A-2020-05-01,inc death,13,06,asian,sample,NA,147.00125167157077,4,1
2020-11-15,A-2020-05-01,inc death,14,06,asian,sample,NA,106.94888028525779,4,1
2020-11-15,A-2020-05-01,inc death,15,06,asian,sample,NA,67.66770420175733,4,1
2020-11-15,A-2020-05-01,inc death,16,06,asian,sample,NA,36.29277291057483,4,1
2020-11-15,A-2020-05-01,inc death,17,06,asian,sample,NA,16.282761385430824,4,1
2020-11-15,A-2020-05-01,inc death,18,06,asian,sample,NA,6.14867613051434,4,1
2020-11-15,A-2020-05-01,inc death,19,06,asian,sample,NA,1.9856334085783798,4,1
2020-11-15,A-2020-05-01,inc death,20,06,asian,sample,NA,0.5728782940739878,4,1
2020-11-15,A-2020-05-01,inc death,1,06,asian,sample,NA,55.30414053836804,5,1
2020-11-15,A-2020-05-01,inc death,2,06,asian,sample,NA,65.49637505979757,5,1
2020-11-15,A-2020-05-01,inc death,3,06,asian,sample,NA,80.62950787226747,5,1
2020-11-15,A-2020-05-01,inc death,4,06,asian,sample,NA,101.57135923016213,5,1
2020-11-15,A-2020-05-01,inc death,5,06,asian,sample,NA,128.0375985905742,5,1
2020-11-15,A-2020-05-01,inc death,6,06,asian,sample,NA,159.30657529333553,5,1
2020-11-15,A-2020-05-01,inc death,7,06,asian,sample,NA,193.18626671698317,5,1
2020-11-15,A-2020-05-01,inc death,8,06,asian,sample,NA,225.23897944584354,5,1
2020-11-15,A-2020-05-01,inc death,9,06,asian,sample,NA,251.5980478235738,5,1
2020-11-15,A-2020-05-01,inc death,10,06,asian,sample,NA,264.94496429007467,5,1
2020-11-15,A-2020-05-01,inc death,11,06,asian,sample,NA,258.5582434759576,5,1
2020-11-15,A-2020-05-01,inc death,12,06,asian,sample,NA,231.63439626514221,5,1
2020-11-15,A-2020-05-01,inc death,13,06,asian,sample,NA,189.20729558453212,5,1
2020-11-15,A-2020-05-01,inc death,14,06,asian,sample,NA,138.4156485601592,5,1
2020-11-15,A-2020-05-01,inc death,15,06,asian,sample,NA,88.05818868725457,5,1
2020-11-15,A-2020-05-01,inc death,16,06,asian,sample,NA,47.474266421904446,5,1
2020-11-15,A-2020-05-01,inc death,17,06,asian,sample,NA,21.399061564710454,5,1
2020-11-15,A-2020-05-01,inc death,18,06,asian,sample,NA,8.113297429194342,5,1
2020-11-15,A-2020-05-01,inc death,19,06,asian,sample,NA,2.6290957583032495,5,1
2020-11-15,A-2020-05-01,inc death,20,06,asian,sample,NA,0.7608918958673441,5,1
2020-11-15,A-2020-05-01,inc death,1,06,asian,sample,NA,40.888169663247666,6,1
2020-11-15,A-2020-05-01,inc death,2,06,asian,sample,NA,48.35862816824186,6,1
2020-11-15,A-2020-05-01,inc death,3,06,asian,sample,NA,60.338845542095214,6,1
2020-11-15,A-2020-05-01,inc death,4,06,asian,sample,NA,77.36655056477905,6,1
